stock,accuracy,loss,precision,recall,f1_score,train_samples,test_samples,best_epoch
RELIANCE,0.5051546391752577,0.6981252722723787,0.5035460992907801,0.9726027397260274,0.6635514018691588,1160,291,6
HDFCBANK,0.5223367697594502,0.697403619584349,0.5471698113207547,0.7295597484276729,0.6253369272237197,1160,291,18
TCS,0.5738831615120275,0.688041978275653,0.5638297872340425,0.7162162162162162,0.6309523809523809,1160,291,4
BHARTIARTL,0.4948453608247423,0.6982379787156672,0.4948453608247423,1.0,0.6620689655172414,1160,291,2
ICICIBANK,0.5463917525773195,0.6902550749762362,0.5370370370370371,0.9539473684210527,0.6872037914691943,1160,291,18
SBIN,0.584192439862543,0.6852407467733953,0.5859030837004405,0.83125,0.6873385012919897,1160,291,12
INFY,0.5223367697594502,0.693700831575492,0.503968253968254,0.900709219858156,0.6463104325699746,1160,291,1
KOTAKBANK,0.5223367697594502,0.6918386085746214,0.5681818181818182,0.1724137931034483,0.26455026455026454,1160,291,1
BAJFINANCE,0.5326460481099656,0.7007030295752168,0.5045045045045045,0.40875912408759124,0.45161290322580644,1160,291,46
HINDUNILVR,0.5326460481099656,0.6925689190933385,0.5165562913907285,0.5531914893617021,0.5342465753424658,1160,291,5
