stock,baseline_accuracy,sentiment_accuracy,improvement,improvement_pct,sentiment_loss,sentiment_precision,sentiment_recall,sentiment_f1,train_samples,test_samples,best_epoch,baseline_precision,baseline_recall,baseline_f1,acc_improvement,f1_improvement,better_than_baseline
RELIANCE,0.5051546391752577,0.5154639175257731,0.010309278350515427,2.040816326530605,0.6968502945097041,0.5294117647058824,0.3082191780821918,0.38961038961038963,1160,291,6,0.5035460992907801,0.9726027397260274,0.6635514018691588,0.010309278350515427,-0.2739410122587692,True
HDFCBANK,0.5223367697594502,0.5532646048109966,0.030927835051546393,5.921052631578947,0.7119232813517252,0.5527272727272727,0.9559748427672956,0.7004608294930875,1160,291,5,0.5471698113207547,0.7295597484276729,0.6253369272237197,0.030927835051546393,0.07512390226936783,True
TCS,0.5738831615120275,0.5498281786941581,-0.02405498281786933,-4.191616766467051,0.6989148095301336,0.5384615384615384,0.8040540540540541,0.6449864498644986,1160,291,3,0.5638297872340425,0.7162162162162162,0.6309523809523809,-0.02405498281786933,0.01403406891211767,False
BHARTIARTL,0.4948453608247423,0.4948453608247423,0.0,0.0,0.6993553515562078,0.4948453608247423,1.0,0.6620689655172414,1160,291,1,0.4948453608247423,1.0,0.6620689655172414,0.0,0.0,False
ICICIBANK,0.5463917525773195,0.5326460481099656,-0.013745704467353903,-2.515723270440243,0.6908711408012101,0.5287769784172662,0.9671052631578947,0.6837209302325581,1160,291,1,0.5370370370370371,0.9539473684210528,0.6872037914691943,-0.013745704467353903,-0.0034828612366362144,False
SBIN,0.584192439862543,0.5773195876288659,-0.0068728522336770626,-1.1764705882353088,0.6853273736242577,0.6010928961748634,0.6875,0.641399416909621,1160,291,5,0.5859030837004405,0.83125,0.6873385012919897,-0.0068728522336770626,-0.04593908438236871,False
INFY,0.5223367697594502,0.5876288659793815,0.06529209621993126,12.499999999999996,1.006721329545647,0.5561497326203209,0.7375886524822695,0.6341463414634146,1160,291,29,0.503968253968254,0.900709219858156,0.6463104325699746,0.06529209621993126,-0.012164091106559916,True
KOTAKBANK,0.5223367697594502,0.5463917525773195,0.02405498281786933,4.60526315789472,0.6993268783559504,0.543046357615894,0.5655172413793104,0.5540540540540541,1160,291,4,0.5681818181818182,0.1724137931034483,0.2645502645502645,0.02405498281786933,0.2895037895037896,True
BAJFINANCE,0.5326460481099656,0.5463917525773195,0.013745704467353903,2.5806451612903136,0.7123262091600608,0.5238095238095238,0.40145985401459855,0.45454545454545453,1160,291,10,0.5045045045045045,0.4087591240875912,0.4516129032258064,0.013745704467353903,0.0029325513196481467,True
HINDUNILVR,0.5326460481099656,0.5292096219931272,-0.0034364261168384758,-0.6451612903225784,0.6932476734377674,0.5074074074074074,0.9716312056737588,0.6666666666666666,1160,291,1,0.5165562913907285,0.5531914893617021,0.5342465753424658,-0.0034364261168384758,0.13242009132420085,False
