Ticker,Total Rows,Date From,Date To,Total Features,Status
RELIANCE,1461,2018-01-30,2023-12-29,48,Success
HDFCBANK,1461,2018-01-30,2023-12-29,48,Success
TCS,1461,2018-01-30,2023-12-29,48,Success
BHARTIARTL,1461,2018-01-30,2023-12-29,48,Success
ICICIBANK,1461,2018-01-30,2023-12-29,48,Success
SBIN,1461,2018-01-30,2023-12-29,48,Success
INFY,1461,2018-01-30,2023-12-29,48,Success
KOTAKBANK,1461,2018-01-30,2023-12-29,48,Success
BAJFINANCE,1461,2018-01-30,2023-12-29,48,Success
HINDUNILVR,1461,2018-01-30,2023-12-29,48,Success
